customer_id,age,email,salary,country,phone,signup_date
C0001,150.0,user1@example.com,103838.41593941413,USA,416-555-0001,2020-01-01
C0002,-5.0,user2@example.com,,Canada,416-555-0002,2020-01-02
C0003,46.0,user3@example.com,-5000.0,USA,416-555-0003,2020-01-03
C0004,32.0,not-an-email,54656.50145890204,UK,416-555-0004,2020-01-04
C0005,60.0,missing@,49313.02077375367,USA,416-555-0005,2020-01-05
C0006,25.0,@nodomain.com,63953.317490517824,Canada,416-555-0006,2020-01-06
C0007,78.0,user7@example.com,33506.681907921025,Germany,416-555-0007,2020-01-07
C0008,38.0,user8@example.com,85642.84959041036,France,416-555-0008,2020-01-08
C0009,56.0,user9@example.com,60289.87933998539,Canada,416-555-0009,2020-01-09
C0010,75.0,user10@example.com,89015.0371842668,Australia,416-555-0010,2020-01-10
C0011,36.0,user11@example.com,64685.69588690085,Canada,(416) 555-0010,2020-01-11
C0012,40.0,user12@example.com,91345.23020755107,Canada,4165550011,2020-01-12
C0013,28.0,user13@example.com,60656.2112517816,USA,+1-416-555-0012,2020-01-13
C0014,28.0,user14@example.com,53462.50754123128,USA,416-555-0014,2020-01-14
C0015,41.0,user15@example.com,74643.37088640656,Australia,416-555-0015,2020-01-15
C0016,70.0,user16@example.com,92360.13228227454,USA,416-555-0016,2020-01-16
C0017,53.0,user17@example.com,61350.29440078777,USA,416-555-0017,2020-01-17
C0018,57.0,user18@example.com,114298.33366701365,Canada,416-555-0018,2020-01-18
C0019,41.0,user19@example.com,33526.76940080816,UK,416-555-0019,2020-01-19
C0020,20.0,user20@example.com,67615.14285440209,USA,416-555-0020,2020-01-20
C0021,39.0,user21@example.com,117082.24963682228,UK,416-555-0021,2020-01-21
C0022,70.0,user22@example.com,79317.46949232786,USA,416-555-0022,2020-01-22
C0023,19.0,user23@example.com,68112.38480773068,USA,416-555-0023,2020-01-23
C0024,41.0,user24@example.com,81166.82553749625,Australia,416-555-0024,2020-01-24
C0025,61.0,user25@example.com,81833.21177322761,Australia,416-555-0025,2020-01-25
C0026,47.0,user26@example.com,"$95,848.30",Australia,416-555-0026,2020-01-26
C0027,55.0,user27@example.com,41492.0756480219,UK,416-555-0027,2020-01-27
C0028,19.0,user28@example.com,52501.480429449424,Canada,416-555-0028,2020-01-28
C0029,77.0,user29@example.com,82248.96111095189,USA,416-555-0029,2020-01-29
C0030,38.0,user30@example.com,108040.49464887498,USA,416-555-0030,2020-01-30
C0031,50.0,user31@example.com,80568.00229293962,USA,416-555-0031,2020-01-31
